open,high,low,volume,amount,noise,close
24.7986,25.3243,24.6214,326084458,8124318185,-0.235533333,24.6488
25.0314,25.1128,24.2871,328890829,8159923987,-0.353366667,24.9728
25.26,25.8,25.05,286283776,7263019397,-0.156166667,25.7457
25.6328,26.4528,25.5928,261524068,6771590388,-0.046666667,26.3271
26.7628,26.8143,25.6714,296647769,7836296907,0.177133333,26.0314
25.98,26.3057,25.3857,240090272,6216049184,0.0362,25.5514
25.3071,25.8428,25.2843,193390878,4927225682,-0.417633333,25.6871
26.1271,26.5714,26.0586,222597197,5843703235,-0.2449,26.5
26.5986,27.1571,26.5886,224851127,6021835468,-0.234966667,27.1361
27.22,27.8557,26.8628,266059930,7266850525,0.038066667,27.7571
27.6557,27.9514,27.5271,180317464,4996849372,0.2443,27.7443
27.8214,28.1186,26.77,276751243,7630031770,-0.3438,26.9343
27.6343,27.7828,26.5371,305773672,8353145557,-0.0143,27.2657
27.17,27.4457,26.8314,216221385,5870201589,0.1381,27.4043
27.1957,27.6,27.0771,168539331,4599595646,0.269566667,27.1986
27.2457,27.5214,26.14,255689427,6895696680,-0.033366667,26.3428
26.6457,26.7614,25.5143,305258822,8030484532,-0.006666667,26.14
26.14,26.377,25.8428,206127942,5384048103,-0.304766667,26.16
26.49,26.8328,26.19,192533868,5102968980,-0.4576,26.7443
27.16,27.7018,27.1271,248414605,6789080069,-0.2862,27.7014
27.8614,28.4757,27.8271,120045206,3367836242,-0.017133333,28.4
28.43,28.7086,28.1171,175634393,4991277706,0.0181,28.4214
28.4214,28.9943,28.2571,198648020,5672910696,-0.1562,28.3671
28.6557,28.7943,28.1257,173164022,4939544132,0.099033333,28.5471
28.5,28.6428,28.25,134248000,3821270871,0.0976,28.2971
28.4671,28.6086,27.5071,269568541,7600287330,-0.0314,27.8343
27.9157,28.1986,27.5271,210336553,5864281255,0.874266667,27.8471
27.35,27.5714,25.5557,363556519,9752658112,0.057633333,25.7214
25.8928,26.2286,24.3186,517719245,13191486363,0.1852,25.3771
25.7343,26.0657,24.4,379755714,9645795136,-0.390466667,24.4643
24.4714,25.6428,24.0428,453136596,11201083517,0.1524,25.6286
25.3686,25.8571,25.0586,370297661,9415965954,0.35,25.4314
25.1428,25.4071,24.2857,307449332,7669385077,-0.52,24.67
25.36,25.6314,25.0243,274486392,6955091743,0.514266667,25.54
25.3886,25.6028,23.5229,584446905,14516550671,0.629066667,24.1486
23.6043,24.1443,22.3857,553027676,12928736312,-0.1486,22.8057
23.0729,23.6229,22.6314,438729542,10138630235,-0.0614,22.9843
23.1014,23.6786,22.8014,429120079,9952925288,0.9057,23.0514
21.1514,22.8543,20.8571,594108588,12845182174,1.715166667,22.2343
19.4557,20,18.02,841930153,16130174965,0.1216,19.8674
19.9986,20.1,18.8586,500791350,9841751927,0.104733333,19.3714
19.8557,19.87,18.5157,387977076,7532109358,0.0881,18.5729
18.3086,19.0286,18.0643,368311410,6801668194,-0.1271,18.5729
18.7357,18.97,18.4357,272313452,5096019478,-0.0224,18.7914
18.7671,19.35,18.5714,309827373,5854549678,-0.0214,18.8829
18.4929,19.5214,18.4857,335951171,6327080387,0.034733333,19.3371
19.4629,19.5129,18.8829,252521086,4870180586,0.078066667,19.1071
19.1729,19.4143,18.7743,224736887,4297081648,0.1671,18.8071
18.6329,19.1429,18.4143,284913525,5336439820,0.280466667,18.48
18.69,18.8457,17.3957,391934318,7176500265,0.132866667,17.4286
17.1386,17.8257,16.7529,520508676,8973083766,-0.2419,17.32
17.44,17.9571,17.3714,338697412,5957518128,-0.309533333,17.9257
18.2871,18.5686,18.1714,299948690,5501768853,0.1591,18.4929
18.6714,18.7143,17.66,306192272,5618189316,-0.302866667,17.8371
18.0971,18.54,17.9471,241604722,4395933489,0.092366667,18.4857
18.4857,18.6857,18.1443,238416082,4396050822,0.191433333,18.2086
18.0386,18.1543,17.7229,223874067,4023449807,0.0519,17.8043
17.9986,18.1071,17.3486,250929705,4471090577,-0.079033333,17.4543
17.4571,17.8,17.3829,241487052,4237292806,0.0024,17.6886
18.0071,18.0671,17.2657,233455880,4150837765,0.054333333,17.3629
17.4971,17.5014,16.5529,382019865,6564552956,0.0281,17.0657
16.9414,17.1671,16.6663,313852794,5311937615,0.1281,17.1057
16.8057,17.2986,16.4914,373867242,6305358272,-0.137633333,17.0214
16.89,17.5786,16.87,363411409,6219010987,-0.532866667,17.5657
18.1714,18.8857,17.9671,403922731,7408508378,0.2624,18.5586
18.47,18.6014,17.8286,311596273,5702211796,0.1843,17.86
17.7771,17.9971,16.8571,398020749,6982783149,-0.15,17.39
17.4271,17.84,17.2,446149824,7802729144,0.055733333,17.8029
17.6543,17.8771,17.4643,304205461,5373860450,0.1636,17.7843
17.8021,18.2143,17.2586,368132490,6537419468,-0.0381,17.2757
17.2014,17.5686,17.0071,307564342,5308263231,0.134766667,17.4643
17.4257,17.6371,17.0529,249758465,4338779078,-0.574766667,17.0986
17.7286,18.2114,17.4286,289874357,5156729536,0.077633333,18.1929
18.1486,18.3829,17.8814,264768989,4802282841,0.000966667,18.0043
17.7286,18.5,17.5714,315318735,5654715981,-0.029066667,18.2771
18.5543,18.6143,17.7429,289115487,5291921688,0.1876,18.0871
17.5071,18.37,17.5071,267717460,4763960809,-0.406666667,18.1043
18.4543,19.0002,18.3814,300486290,5592640813,0.135733333,18.9743
19.0171,19.1843,18.5243,252491966,4774261172,-0.240466667,18.5243
18.7314,19.0416,18.4543,226741198,4249681787,-0.333333333,19.0386
19.1443,20.1214,19.0914,266346300,5181065888,-0.0895,19.9329
19.9943,20.4429,19.6186,263058049,5266053860,-0.189066667,20.14
20.1243,20.82,20.0914,295129119,6004470790,0.234333333,20.7229
20.7071,20.7586,19.9986,249231715,5106284300,-0.205233333,20.0357
20.2571,20.6643,20.2286,178464914,3637709830,-0.0357,20.43
20.4671,20.8157,20.36,191749658,3939995273,-0.420466667,20.5
20.9,21.38,20.5157,257596927,5391993116,0.132833333,21.3614
21.2543,21.6,20.8357,260236278,5524816182,-0.175733333,21.07
21.0086,21.9471,21,262789809,5602302062,-0.0976,21.6586
21.7414,22.1021,21.5357,213231824,4646975356,-0.279033333,21.8686
22.3043,22.8129,22.1586,289539827,6493007831,0.256666667,22.27
21.9357,22.35,21.76,253412396,5578933027,0.0443,21.8343
21.9014,21.9843,21.4943,218270075,4756832501,-0.133333333,21.6343
21.59,22.2029,21.5143,238914552,5200946810,0.440033333,22.0786
21.8171,21.9,20.9143,300941920,6483432536,-0.012833333,21.02
20.9671,21.3214,20.6486,211240113,4431613372,-0.105733333,21.1114
21.3429,21.3886,20.8171,173766442,3680871372,-0.4124,21.1971
21.6743,22.0143,21.5171,198569340,4315950938,-0.060033333,21.9571
22.0243,22.2857,21.9071,175625503,3876470498,-0.532366667,22.07
22.7314,23.18,22.6257,256500517,5859933861,-0.394766667,23.0057
23.1729,24.0714,23.1086,259419938,6083648319,0.4152,24.0228
23.9143,24,22.5843,358271727,8419218391,-0.311433333,22.8857
23.4357,23.5486,23.0114,357445167,8339874892,-0.404766667,23.27
23.62,24.2828,22.742,423814077,9980086902,-0.1214,24.1343
24.3857,24.4428,23.7743,247883934,5999022561,-0.1205,24.2471
24.25,24.8214,24.1614,196496779,4796669772,-0.08,24.6057
24.4443,25.0943,24.3214,230579159,5676858895,-0.001933333,25.0071
25.17,25.7143,24.7028,284456285,7167075220,-0.3362,24.85
24.9943,25.7143,24.98,225545388,5690404885,-0.0538,25.7143
25.7414,25.9886,25.5071,248937505,6409070322,-0.227133333,25.8486
25.9886,26.4728,25.8643,213317714,5569419757,-0.088566667,26.39
26.38,26.7314,26.0257,229405189,6051487127,0.222833333,26.6657
26.5786,26.8857,25.7914,288917037,7632774003,-0.173766667,26.0843
26.2528,26.6428,26.1528,224577427,5917495427,0.167133333,26.4371
26.1657,26.3214,25.91,168155030,4394288901,-0.308133333,26.2071
26.4586,26.9814,26.1214,204610271,5426359872,-0.107133333,26.88
26.9443,27.35,26.8371,205373622,5554083159,0.115666667,27.1371
27.3186,27.4628,26.51,228965729,6204314887,-0.1914,26.6086
26.6871,27.1286,26.3143,218080655,5824934295,0.082366667,27.1043
27.1586,27.1857,26.7143,191255457,5167633196,0.180033333,26.8029
26.8371,26.9557,25.9,236428781,6280557186,-0.024733333,26.2286
25.9743,26.5943,25.7314,242205393,6321560757,0.378066667,26.5571
26.5243,26.8571,25.1786,289161897,7572186209,0.003333333,25.4557
25.6086,25.9043,24.5714,301654450,7650389223,-0.373366667,25.2928
25.8243,25.9986,25.4,226655238,5834324926,-0.3257,25.8814
26.1071,26.6328,25.9771,197271539,5176207912,-0.0743,26.6328
26.7728,26.85,26.2457,185820236,4947061173,0.027133333,26.7157
26.68,26.8857,26.5,161597008,4312792521,-0.1343,26.67
